[10/May/2026:19:33:49 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:33:51 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:33:52 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:33:52 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:33:53 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:33:53 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:34:09 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:34:09 +0000] - 200 200 - GET http stat.soydan.fun "/static/manifest.json" [Client 172.17.0.7] [Length 221] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:09 +0000] - 401 401 - POST http stat.soydan.fun "/api/collections/users/auth-refresh" [Client 172.17.0.7] [Length 92] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:10 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/first-run" [Client 172.17.0.7] [Length 19] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:10 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/users/auth-methods?fields=mfa%2Cotp%2Cpassword%2Coauth2" [Client 172.17.0.7] [Length 173] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
